Sample_ID,Group,Escherichia_coli,Lactobacillus_spp,Staphylococcus_aureus,Bacillus_subtilis,Pseudomonas_aeruginosa
S1,Healthy,56,31,18,6,62
S2,Healthy,19,58,4,10,40
S3,Healthy,76,68,25,58,53
S4,Healthy,65,51,14,46,24
S5,Healthy,25,69,9,8,26
S6,Healthy,79,89,26,58,60
S7,Healthy,79,24,2,33,41
S8,Healthy,28,71,20,22,29
S9,Healthy,7,71,28,30,15
S10,Healthy,26,56,47,48,45
S11,Disease,57,71,7,38,65
S12,Disease,6,60,44,14,9
S13,Disease,34,64,8,40,1
S14,Disease,42,73,47,18,8
S15,Disease,6,12,35,35,63
S16,Disease,68,60,14,52,11
S17,Disease,64,16,17,19,8
S18,Disease,25,30,36,12,35
S19,Disease,37,82,40,18,35
S20,Disease,62,48,4,27,33
